Должность,Компания,Доход,Адрес,Ссылка 
['Координатор отдела клиентского сервиса', 'LARTA GLASS', 'Не указана', 'Рязань', 'https://ryazan.hh.ru/vacancy/73397968?from=vacancy_search_list&query=%D0%A0%D1%8F%D0%B7%D0%B0%D0%BD%D1%8C']
['Продавец-консультант в ТЦ "Премьер"', 'Компания «СПОРТМАСТЕР»', 'от 30 000 руб.', 'Рязань', 'https://ryazan.hh.ru/vacancy/72250666?from=vacancy_search_list&query=%D0%A0%D1%8F%D0%B7%D0%B0%D0%BD%D1%8C']
['Кассир', 'ООО РН-Маркетинг', 'от 32 000 руб.', 'Рязань', 'https://ryazan.hh.ru/vacancy/69541893?from=vacancy_search_list&query=%D0%A0%D1%8F%D0%B7%D0%B0%D0%BD%D1%8C']
['Техник по подготовке новых автомобилей', 'ООО Димар-Викинги', 'от 30 000 руб.', 'Рязань', 'https://ryazan.hh.ru/vacancy/72686900?from=vacancy_search_list&query=%D0%A0%D1%8F%D0%B7%D0%B0%D0%BD%D1%8C']
['Кладовщик в ТЦ "Барс"', 'Компания «СПОРТМАСТЕР»', 'от 28 000 руб.', 'Рязань', 'https://ryazan.hh.ru/vacancy/73330128?from=vacancy_search_list&query=%D0%A0%D1%8F%D0%B7%D0%B0%D0%BD%D1%8C']
['Продавец-кассир в мобильное подразделение (Шилово)', 'ООО Бристоль', 'от 45 800 руб.', 'Рязань', 'https://ryazan.hh.ru/vacancy/72034270?from=vacancy_search_list&query=%D0%A0%D1%8F%D0%B7%D0%B0%D0%BD%D1%8C']
['Кассир', 'ООО РН-Маркетинг', 'от 30 000 руб.', 'Рязань', 'https://ryazan.hh.ru/vacancy/69541765?from=vacancy_search_list&query=%D0%A0%D1%8F%D0%B7%D0%B0%D0%BD%D1%8C']
['Специалист группы поддержки', 'Ozon Fintech', 'Не указана', 'Рязань', 'https://ryazan.hh.ru/vacancy/73355840?from=vacancy_search_list&query=%D0%A0%D1%8F%D0%B7%D0%B0%D0%BD%D1%8C']
['Оператор Тинькофф', 'ИП Новиков Василий Викторович', '25 000 – 25 000 руб.', 'Рязань', 'https://ryazan.hh.ru/vacancy/73303088?from=vacancy_search_list&query=%D0%A0%D1%8F%D0%B7%D0%B0%D0%BD%D1%8C']
['Менеджер по логистике', 'ООО Лаборатория Счастья', '35 000 – 50 000 руб.', 'Рязань', 'https://ryazan.hh.ru/vacancy/73376836?from=vacancy_search_list&query=%D0%A0%D1%8F%D0%B7%D0%B0%D0%BD%D1%8C']
['Продавец-кассир (ул.Гагарина д.87)', 'ДИКСИ. Магазины', '27 097 – 29 806 руб.', 'Рязань', 'https://ryazan.hh.ru/vacancy/71607666?from=vacancy_search_list&query=%D0%A0%D1%8F%D0%B7%D0%B0%D0%BD%D1%8C']
['Специалист по озеленению территории', 'ООО Интер Парк', 'от 35 000 руб.', 'Рязань', 'https://ryazan.hh.ru/vacancy/73069795?from=vacancy_search_list&query=%D0%A0%D1%8F%D0%B7%D0%B0%D0%BD%D1%8C']
['Курьер', 'Национальная Служба Доставки', 'до 102 240 руб.', 'Рязань', 'https://ryazan.hh.ru/vacancy/73090095?from=vacancy_search_list&query=%D0%A0%D1%8F%D0%B7%D0%B0%D0%BD%D1%8C']
